Number One,Number Two,Their GCD,Time Spent (Milliseconds)
372179,466886,1,1.5832
268562,473720,2,1.1555
201407,851424,1,0.8413
865501,343571,1,1.3524
976072,702244,4,3.1772
458469,678500,1,2.4695
57544,153191,1,0.3095
203193,352159,211,1.1183
391077,371438,1,2.0787
10765,682317,1,0.0633
251894,573101,1,1.3616
922156,308126,2,1.6979
305093,633361,1,1.716
515515,585393,1,3.0034
429017,892927,1,2.4698
340243,726391,1,1.711
434415,363085,5,1.7079
490356,270876,12,1.3455
209856,535946,2,1.0091
68776,582463,1,0.3094
428529,10310,1,0.0617
314903,141789,1,0.6138
759116,835172,4,2.9924
130612,935513,1,0.5144
568546,341455,1,1.3579
891727,953340,1,3.5312
414645,235792,1,0.9293
529060,659902,2,2.2434
217567,85384,1,0.437
182667,373647,3,0.7791
467230,754451,1,1.8768
448245,447180,15,1.7687
185473,91549,1,0.365
804055,779325,5,3.1383
681309,908433,9,2.701
62392,540148,4,0.2539
953343,155952,27,0.6152
855590,172177,1,0.7331
697738,239396,2,0.9508
265336,955929,1,1.0911
743820,585218,2,2.864
572252,147540,4,0.581
433983,951736,1,1.823
948354,147423,3,0.6279
496423,165203,1,0.6677
813152,705906,2,2.8025
694200,651897,3,2.5883
111870,300088,2,0.4606
626365,241234,1,0.9737
3299,576815,1,0.0148
695816,360566,2,1.436
907181,331373,1,1.4216
437845,406099,1,1.6137
446489,375046,1,1.4858
358362,779720,2,1.5167
214000,967400,200,0.8721
721891,257798,1,1.0176
139311,287035,1,0.5558
475318,450990,2,1.7745
111715,705915,5,0.4462
102971,567666,11,0.4119
701165,531179,1,2.1962
112293,704497,1,0.4424
17934,29709,3,0.0715
920927,531725,1,2.0966
919230,990332,2,4.685
553548,104538,6,0.4133
126402,959620,2,0.5712
825089,285478,1,1.2012
365438,568171,1,1.4769
570660,112697,1,0.5796
299459,49476,19,0.2017
842456,118265,31,0.5561
738684,408543,3,1.7248
192447,70135,1,0.2804
428847,457923,3,1.7333
518271,888745,13,2.2845
254226,380772,42,1.392
340300,91801,1,0.5071
605003,130906,1,0.6996
890409,327888,3,1.7845
776818,453033,7,1.8618
592699,693890,1,2.6275
609506,743177,1,2.4478
589215,280888,1,1.113
849743,16963,1,0.067
291449,345927,1,1.2393
196309,752115,1,1.0834
627024,331568,16,2.0593
431623,317396,1,1.8989
896039,359027,1,2.0832
384884,849012,4,2.2058
225175,277517,1,1.3228
513875,112137,1,0.6535
635664,798259,1,3.7053
599466,713774,2,3.4796
958198,628522,2,3.6885
197581,477364,1,1.1629
134333,453555,1,0.7787
510386,892711,1,3.0022
675788,695631,1,2.7475
593676,926714,2,2.4375
557103,899220,3,3.2543
557742,809121,3,3.2677
462926,123753,1,0.7212
133906,135956,82,0.7891
328575,906367,1,1.9234
700860,947153,1,4.096
653387,960845,31,3.8192
12006,865140,6,0.0714
139479,994860,3,0.8128
242281,26438,1,0.1544
760566,245362,2,1.4359
348355,904303,1,2.0359
559091,981787,1,3.2774
362625,705629,1,2.1414
275845,751215,5,1.6447
245988,23007,3,0.1349
839155,253904,1,1.3559
681798,295573,1,1.7323
936652,800999,1,4.26
91628,759831,1,0.6378
591289,634013,1,2.4856
51164,850753,1,0.2016
263212,312461,1,1.0573
456929,52799,1,0.208
592884,807485,1,3.1167
355093,796536,1,1.4688
869060,288267,1,1.142
744223,699596,1,2.8054
145174,724672,2,0.5718
732258,554100,6,2.1887
954701,73063,1,0.3176
607418,411178,2,1.624
684040,136066,14,0.5377
279721,416274,1,1.1211
762320,659083,1,2.6072
982407,367843,1,1.4668
221085,654987,3,0.8936
591694,528047,1,2.4541
124670,203302,2,0.4969
609951,386411,1,1.5442
809181,599657,1,2.3707
143651,664096,1,0.5675
965308,896442,2,3.5463
448076,493757,1,1.7681
678137,921921,1,2.8373
332689,760453,1,1.3359
567941,930652,1,2.2451
12708,260267,1,0.0519
202944,271540,4,0.8065
437618,70852,2,0.2813
781049,677834,1,2.7214
46765,226104,1,0.1848
810947,392612,1,1.5542
909080,33627,1,0.1405
429570,436132,2,1.7982
502871,259950,1,1.0367
965673,582872,1,2.3124
528916,982768,4,2.327
12549,570051,3,0.05
100272,758297,1,0.4084
17288,314321,1,0.0693
377564,503137,1,1.5238
691031,73215,1,0.2883
607365,222052,1,0.8907
150881,238420,1,0.5951
887354,873715,1,3.515
172389,497778,3,0.679
459940,609047,1,1.828
687595,186490,5,0.7437
45473,547556,1,0.1805
895574,889112,2,4.2353
505306,284650,2,1.6291
631770,928346,2,3.6554
921987,766979,1,3.6654
864850,497647,1,2.9053
537328,547278,2,3.2805
922284,73283,1,0.4264
641998,613680,2,3.5477
669426,412295,1,2.2178
978237,914135,1,4.7369
54198,649997,1,0.2942
444892,213206,14,1.1758
34862,884263,1,0.2039
360333,898243,1,1.7257
232676,437583,1,0.9256
979888,608291,1,2.4802
886580,146533,1,0.6375
966455,210111,1,0.9098
953173,189786,1,0.7533
100098,137933,1,0.4073
840654,784091,1,3.1105
124446,863755,1,0.4905
51979,707168,1,0.2047
699175,269971,1,1.0812
814786,551139,1,2.1926
637726,684182,2,3.3648
619558,833732,2,3.368
698753,916959,1,3.7314
401979,361481,1,1.9665
184950,73171,1,0.4092
173991,305698,1,0.9407
237078,729058,2,1.294
724920,530781,3,2.9152
46127,829599,1,0.2506
844164,765245,1,4.2161
672431,679194,1,3.6581
97896,142719,3,0.5425
985601,822178,1,4.5113
567962,583812,2,2.7376
423551,556595,1,2.3458
787264,292640,32,1.6048
546349,507010,1,2.7913
918939,174531,21,0.7405
681874,624825,1,2.9716
250390,262233,1,1.3541
218792,259249,1,1.4992
356035,457796,1,1.8997
636588,913840,4,2.756
126562,339014,2,0.517
866311,43450,1,0.1711
517672,5539,1,0.0295
972945,144099,27,0.5948
444039,945063,3,1.839
56174,61935,1,0.2234
451752,579925,1,2.3874
627927,897447,3,3.5197
210803,171234,1,1.0482
769198,976239,1,4.3373
240908,876437,1,1.0013
379144,363869,1,1.7614
682284,85684,4,0.4393
78376,460012,4,0.4082
15782,230331,1,0.083
643746,548422,2,3.0494
312159,497997,3,1.8367
110569,794471,1,0.6813
728521,813245,1,4.267
464876,179123,1,0.7985
943312,476127,1,2.7269
896472,260118,18,1.4084
161831,982999,1,0.8853
550315,888180,5,2.9709
51846,68886,6,0.3711
25325,234192,1,0.1354
999938,492339,1,2.6912
440645,312561,1,1.9843
535138,448707,1,2.4374
542743,378194,1,2.2092
472658,581565,1,2.5341
422638,915624,2,2.3165
883000,49566,2,0.2884
129285,244900,5,0.7224
392001,26253,3,0.1454
131340,312742,2,0.727
883048,185467,1,1.0386
304656,965040,48,1.6296
321058,650788,2,1.8218
834249,786341,1,5.5739
561485,833590,5,3.1587
733275,687214,1,4.143
576897,302719,1,1.7244
925300,293355,5,1.6408
320458,835435,1,5.4378
42549,305441,1,0.2432
941632,206338,2,1.1389
921804,555582,6,3.1679
43487,453052,1,0.2465
972457,879422,1,6.3621
886049,954078,1,5.2592
159999,276879,3,0.9026
449645,164653,1,0.9428
424277,719248,1,2.3964
164933,921735,1,0.9733
584146,607856,2,4.0147
791677,795885,1,4.3653
592127,903636,1,3.3893
71944,70660,4,0.4281
244526,925723,1,0.963
948122,606475,1,2.4195
377045,518473,1,2.2701
552229,832239,1,3.0165
723767,671905,1,3.7301
294356,513237,1,1.6395
639563,356828,1,2.0484
980368,200000,16,1.1486
978988,845479,1,5.404
674421,636217,1,3.5699
301296,114698,2,0.6127
922093,873997,1,12.5472
149624,176447,1,1.3774
567708,579652,4,4.0446
172924,342383,1,1.5602
769240,279062,2,1.4609
183765,6084,3,0.0243
667591,485437,1,2.0101
696116,457711,1,2.3729
120068,933298,2,0.6311
536176,832116,4,3.6484
801384,263444,4,1.6889
948074,163535,1,0.9695
284688,111725,1,0.8566
781546,258527,1,1.5483
235329,982634,1,1.3813
401094,682227,9,2.3769
581524,300905,1,2.0163
299131,709309,1,1.692
305697,177746,1,1.0203
909178,830253,1,6.2552
492031,511162,1,2.8183
332465,504336,7,2.0032
902406,894456,6,4.4457
926430,844396,2,4.2876
818090,225984,2,1.3233
440643,672205,1,2.6826
371074,442093,1,1.8292
9039,560808,3,0.0484
474621,495830,1,2.7563
415706,914823,1,2.0918
414778,747589,1,1.643
158443,895486,1,0.6327
169516,169108,4,1.1664
774305,475932,1,3.657
87555,663448,1,0.5592
703505,871076,1,4.2328
554275,715042,1,3.3337
48206,973827,1,0.2796
5412,890755,1,0.033
300609,511988,1,1.6285
189525,750342,3,0.7736
957228,928408,4,3.9613
825962,391160,2,1.7678
644066,692317,1,3.8763
968472,779533,1,4.4314
283452,196217,1,1.1166
313614,777000,42,1.7632
440587,976591,7,2.5594
390288,400437,3,2.2573
266625,157100,25,0.8993
69925,73253,1,0.4015
493246,761843,1,2.8257
179390,219845,5,0.9962
701204,538711,1,2.9608
213673,358055,1,0.8915
688844,333882,2,1.9465
355015,753757,1,2.079
473113,467854,1,2.7183
732069,660958,1,3.8964
619730,934869,1,3.6285
636567,773059,1,2.8023
916760,440713,13,1.7921
505570,676914,2,2.8029
41468,724011,1,0.2266
164739,813265,1,0.9174
968192,798065,1,4.8509
564475,914326,1,3.3838
481203,98117,1,0.5528
800440,290859,1,1.2412
170982,906798,138,0.68
457700,402734,2,1.6372
203195,883470,5,0.8046
347860,616013,1,1.4383
867366,961727,1,4.6489
62230,734898,2,0.2593
97927,955224,1,0.3857
621239,468219,1,2.0003
801619,105862,1,0.7109
992912,270505,1,1.4773
681602,791564,2,3.8478
704443,755927,1,3.8637
658456,722400,8,3.3553
493840,636878,2,2.7089
169805,619987,1,0.975
449609,556430,1,2.5241
961561,647536,1,3.5382
182437,744405,1,0.9885
531404,635915,1,2.9068
226239,472069,13,6.9246
307324,701017,1,1.9213
663435,930690,45,3.857
950746,320214,2,1.7854
792721,835167,1,18.6355
677574,374522,2,2.3469
89345,587514,1,0.5131
27983,489583,1,0.2493
66809,234627,1,0.3705
564326,568794,2,6.3473
651770,13749,1,0.0795
76634,202931,1,0.4442
650494,222700,2,1.2389
877236,955220,4,4.9929
470203,139703,1,0.8181
354728,3233,1,0.0193
522479,49725,1,0.2749
227769,60984,3,0.3386
839277,180334,1,1.0153
248325,310717,11,1.3846
771553,51973,1,0.2663
802996,475391,1,2.6311
88753,782571,1,0.5019
991856,491895,1,2.7695
439705,894140,5,2.6666
966646,548327,1,3.3266
78911,912937,1,0.4363
20502,737206,2,0.1165
12719,925008,7,0.073
578739,938932,1,3.4246
535848,625142,2,2.9894
979247,968930,1,5.8279
826634,629700,2,3.8119
658723,112340,1,1.0683
457014,257925,3,1.2682
16376,316497,1,0.0717
912701,236969,1,0.9623
694357,872515,1,3.8728
937008,334664,8,1.8703
342050,713561,1,1.9366
196523,72178,1,0.418
457946,651706,2,6.8911
653798,535846,2,3.4177
359584,274794,2,1.7711
244811,199981,1,1.3334
472204,108759,1,0.6728
660038,533010,2,3.5726
330908,268513,1,1.6458
857470,725203,1,3.5248
583167,555023,1,2.8021
249408,971548,4,1.0749
222829,495292,1,0.8775
208251,666415,1,0.868
942152,203429,1,1.64
779191,482078,1,2.2265
48551,929804,1,0.1914
867516,19780,4,0.0794
483005,161491,1,0.6405
362535,102434,1,0.4037
480508,130281,1,0.5177
739357,566094,1,2.4085
685603,591383,1,2.4268
105762,340524,6,0.4365
505192,991261,1,2.0229
815752,326287,1,1.4003
580325,281939,1,1.227
352454,261895,1,1.3719
866766,429969,3,1.8378
789503,881604,1,3.5362
844894,799355,1,4.5176
509912,324900,4,1.817
424872,931019,1,2.6077
698397,541475,1,2.5459
281809,328479,1,1.138
8889,983345,1,0.0355
517890,812147,1,2.0448
483482,35098,2,0.1387
