Number One,Number Two,Their GCD,Time Spent (Milliseconds)
847322,563719,1,6.07936
69044,842338,2,0.704334
93326,593758,2,1.09611
30249,332390,1,0.308759
424625,940621,1,7.32059
27416,559287,1,1.76684
611528,401315,1,4.25881
983522,619025,1,6.92612
18412,909375,1,0.228443
817357,500052,1,5.46574
485550,319387,1,2.6249
682181,912362,113,5.18869
734015,686519,1,4.86603
531284,990649,1,4.45335
976283,59045,7,0.389875
352154,246651,1,1.61971
228965,307098,11,1.50199
456053,129418,1,0.850062
73486,735350,14,0.469489
646746,215061,3,1.39487
758624,601717,1,4.09208
899429,1827,1,0.011802
35590,569717,1,0.227544
253842,323029,1,1.66342
445951,693933,1,3.1707
489456,793325,1,5.03686
586422,927059,1,4.56217
814878,973922,2,5.7551
601356,43978,2,0.31106
564739,38723,1,0.354068
756149,992087,1,5.39463
562949,268752,1,1.80504
683099,571013,1,4.03037
333931,567148,1,2.53138
343747,143713,1,1.45288
52708,273042,2,0.536002
932758,56132,2,0.426981
860371,562130,1,3.93745
249280,747333,1,1.73733
655725,227018,1,1.5549
714302,123094,2,0.831358
193607,240433,1,1.29985
382415,756799,1,2.50328
208035,556405,5,1.80794
541146,616555,1,3.55898
784657,715398,1,5.34012
596604,991024,4,4.28252
714232,621401,1,4.14859
426007,984554,1,2.82664
408383,453029,1,2.68691
503821,710998,1,3.79322
531457,803113,1,3.57908
521957,931595,1,3.78292
565030,227742,2,1.49598
818864,257570,2,1.66882
446141,639339,1,2.99677
828614,749792,2,5.03016
79712,970324,212,0.507897
98704,511202,2,0.693032
421341,896059,1,2.77583
494840,517721,1,2.74452
460175,331647,1,4.43325
438007,381245,1,4.00516
665063,978253,1,4.09318
186837,439940,1,1.25034
878571,255749,1,1.68192
272679,959508,33,1.75233
359796,392885,1,2.32844
791258,103562,2,0.641122
883353,878296,1,10.2468
933392,239353,1,1.88096
62851,133122,1,0.377772
40672,362756,4,0.256549
775282,546824,2,3.78082
904334,303031,1,2.0942
814875,991579,1,5.17279
124800,315331,1,0.573509
527084,394443,1,1.75554
995621,366098,1,1.5513
405766,721289,1,2.41976
298489,76716,1,0.559107
363888,916997,19,2.54759
974823,790532,1,4.58617
703099,376090,1,2.28984
540256,798955,1,3.6691
267163,973232,13,1.81425
139706,196262,2,1.10331
352176,24689,1,0.147928
428075,267685,5,1.53569
427832,410315,1,1.84435
808259,42123,1,0.175634
779917,538794,1,3.17311
666124,639690,2,3.84923
521888,61987,1,0.292155
354,825808,2,0.001801
992641,113777,1,0.505996
869846,802537,1,4.56497
794907,596176,1,3.47246
560138,609469,1,3.6613
152637,143900,1,0.747543
452992,949098,2,2.00438
368559,970980,3,1.65241
60012,17696,4,0.074014
840600,642721,1,2.91726
653855,560841,1,2.57069
405833,980126,1,2.75933
798832,414096,16,3.60759
861587,933987,1,5.11587
907774,912237,1,3.94195
781000,308202,2,1.81305
354278,82415,1,0.36727
974875,715797,1,3.1395
168074,611660,2,0.853062
663315,718432,1,3.49497
35369,355983,1,0.31326
930784,395595,59,2.45317
690582,401358,6,2.34025
316529,867774,1,1.31815
327863,699924,1,1.41177
871200,873020,20,3.77922
832368,432641,1,1.86255
875392,963609,1,3.72511
780503,81034,1,0.346266
920725,320384,1,1.41757
733760,188109,1,0.875667
223375,400152,1,0.956782
616336,29813,7,0.124523
15010,660529,1,0.063012
550616,823426,2,2.35685
741535,450330,5,2.28124
758652,770635,1,3.52867
250615,810526,1,1.0731
365931,746894,1,1.571
23439,7850,1,0.033006
845950,991445,35,3.59208
348502,840417,1,1.50909
959076,436362,6,1.84815
726332,185751,1,0.78885
929488,560074,2,2.37625
103114,388399,11,0.429982
227375,752158,1,0.962583
881690,859107,1,3.63729
980592,309245,1,1.32995
602369,628201,1,3.06948
844407,781009,1,3.41895
151287,820005,3,0.647823
29158,230270,2,0.121723
585171,993538,1,2.48917
92809,359840,1,0.386874
215985,56859,33,0.267551
924324,933681,3,3.89294
32569,270989,1,0.150128
501309,910861,1,2.13281
71476,746122,2,0.297757
555450,969763,1,3.01478
773302,232428,2,0.987088
57800,634471,1,0.265351
125380,56729,1,0.236445
862070,838303,1,3.54848
842058,438642,18,2.18002
115097,901888,1,0.822256
941642,602863,1,3.48646
183618,486611,1,0.764845
405455,380820,5,1.75633
170409,377739,3,0.744942
816455,738639,1,3.135
744376,694435,1,2.94226
669841,573595,1,2.48357
457820,751515,5,1.93877
421071,208097,1,0.866465
936046,32108,2,0.134126
59609,119123,1,0.278453
884819,594679,1,2.50788
771987,326840,1,1.36046
273687,888717,3,1.36016
222001,891828,1,1.54879
916253,219970,1,1.5676
351191,635780,1,1.60731
660070,510639,1,2.50038
446765,322900,5,1.43147
530823,270964,1,1.16952
413271,116501,1,0.485093
515451,89095,1,0.371371
853007,99522,1,0.448485
628718,23162,2,0.096619
683938,809808,2,2.90295
266937,342748,1,1.12752
752573,738308,1,3.1269
216641,468311,1,0.919575
930505,75140,5,0.349066
532762,369677,1,1.5919
248411,899197,1,1.0344
879892,89377,1,0.372571
154360,300290,10,0.660626
319601,788037,1,1.46248
410939,177649,1,1.29085
115877,677222,1,0.795751
48739,166912,1,0.357168
976811,230897,1,1.38706
85914,577950,6,0.377372
898193,799799,1,3.38945
438791,914575,1,1.85315
670734,245638,2,1.0373
443996,178652,4,0.753443
192597,423756,3,0.816755
849219,106780,1,0.776248
499029,973774,1,2.91385
797173,597535,1,2.54238
554730,762557,1,2.33505
623010,969055,5,2.6256
122385,433348,1,0.509797
245284,812112,4,1.0575
671485,770993,1,2.83994
989123,455515,1,2.18101
867849,749717,1,4.12679
718795,660563,1,3.80222
257037,40913,1,0.230744
856345,974500,5,5.35062
857212,288668,4,1.92447
975221,447819,1,2.91486
429860,621252,4,2.91685
174107,445832,1,1.11101
892324,744580,4,4.89973
699542,871858,2,5.71129
144052,94092,4,0.750743
250791,733342,1,2.05519
779921,960269,1,6.47063
598199,520085,1,4.60958
328917,742097,1,2.72502
440901,378436,1,3.09919
182536,664017,1,1.45668
550798,524719,1,4.36733
310784,999332,4,2.55058
112789,918536,1,0.900171
776961,111838,1,0.922176
297017,88321,1,0.705034
600697,926695,1,4.93264
781109,494835,1,4.08548
608971,703192,29,6.04645
172123,256164,1,1.40447
599417,384210,1,3.1301
225295,517999,1,1.89856
395553,77802,3,0.620918
922384,669680,16,5.44634
902220,269414,2,2.19572
550292,661267,1,4.53276
733182,25249,1,0.233844
757328,256469,1,2.38835
250868,140063,1,1.11791
450134,278030,2,2.14471
57251,740803,1,0.276653
844926,403394,2,1.70602
337329,252177,3,1.0681
783002,545495,1,2.74112
831262,402773,1,1.70653
963526,691752,2,2.91736
626508,470416,4,2.04399
199718,830613,1,0.871866
991953,56788,1,0.269951
381150,394123,1,1.63281
651195,222732,9,1.26224
223394,994891,1,1.16812
483895,113102,1,0.47099
135736,981018,2,0.640922
637846,416521,1,1.86926
47544,295231,1,0.198538
506669,524151,1,2.16091
742830,419561,1,1.79904
100955,292823,1,0.47179
167901,209716,1,0.751243
240112,528860,4,1.01779
632516,508320,4,2.49377
858283,577674,1,2.46657
329257,477868,1,1.43197
551949,211703,1,0.966884
157756,268416,4,0.673728
72446,672218,2,0.301957
676444,364772,4,1.5749
727917,455391,3,1.96237
569351,536484,1,2.37015
188074,830725,1,0.852762
363030,918288,6,2.43696
565180,603210,10,2.75172
188827,549568,1,0.907573
445496,778498,2,2.17311
264265,635743,1,1.16742
744532,330512,4,1.49098
671628,94708,4,0.502496
571221,34731,9,0.174433
788278,145608,2,0.690031
91232,788523,1,0.456787
327214,981680,2,1.62271
469971,250862,1,1.23874
387979,892941,1,1.86035
169063,526115,1,1.00129
610506,216472,2,0.917375
444615,950170,5,1.88246
225973,385546,1,0.957783
311373,205289,1,0.883068
755348,143725,1,0.906873
437402,256419,1,1.41077
352103,341733,1,1.65702
889113,144397,1,0.782649
668105,827986,1,3.05758
973664,246391,1,1.23203
520085,344942,1,1.45138
157860,775089,9,0.719137
239646,502192,2,1.26944
511569,30918,3,0.128824
119695,794088,1,0.585011
6878,872325,1,0.033306
492774,154836,6,0.691131
161367,434731,1,0.694332
361252,150658,2,0.753343
819162,452365,1,1.98968
693543,835963,1,3.41605
950437,488274,1,2.1091
159900,779006,2,0.700234
48742,917671,1,0.21174
16615,777099,1,0.069313
374846,403283,1,1.79864
432839,883603,1,2.01398
295525,765033,1,1.32885
852268,337785,1,1.47238
613982,544749,1,2.31134
669521,643010,1,2.75663
970924,500915,1,2.70872
445268,341879,1,2.02689
119699,63653,1,0.401176
358173,496821,3,1.88656
218971,939509,1,1.12681
657928,959308,4,5.70819
562748,177029,1,2.78383
344188,284915,1,3.77522
378865,194353,1,1.27424
607763,50630,1,0.332763
654724,172618,2,1.22373
354268,202179,1,1.61571
886218,28471,1,0.136626
431089,154414,1,1.08191
241336,398114,2,2.72692
565013,96959,1,0.703734
467156,712187,1,6.42962
192364,404167,1,1.80384
198320,668422,2,1.96257
631726,483180,2,4.02087
668719,885877,1,5.7843
391151,539828,1,3.01147
184050,385768,2,1.40197
861148,465147,1,2.6093
231526,588302,2,1.28855
275702,380460,2,1.33405
92032,259814,2,0.460387
720522,312371,1,1.52079
364736,466713,1,2.1252
28014,413040,6,0.20754
421123,860044,1,2.84614
