Number One,Number Two,Their GCD,Time Spent (Milliseconds)
847322,563719,1,0.0007
69044,842338,2,0.0003
93326,593758,2,0.0004
30249,332390,1,0.0003
424625,940621,1,0.0003
27416,559287,1,0.0002
611528,401315,1,0.000301
983522,619025,1,0.0005
18412,909375,1,0.0004
817357,500052,1,0.0005
485550,319387,1,0.0003
682181,912362,113,0.0003
734015,686519,1,0.0004
531284,990649,1,0.000401
976283,59045,7,0.0004
352154,246651,1,0.000401
228965,307098,11,0.0004
456053,129418,1,0.0004
73486,735350,14,0.0002
646746,215061,3,0.0004
758624,601717,1,0.0005
899429,1827,1,0.0003
35590,569717,1,0.0003
253842,323029,1,0.0003
445951,693933,1,0.0003
489456,793325,1,0.0004
586422,927059,1,0.0005
814878,973922,2,0.0003
601356,43978,2,0.0004
564739,38723,1,0.0004
756149,992087,1,0.0005
562949,268752,1,0.0005
683099,571013,1,0.0005
333931,567148,1,0.0004
343747,143713,1,0.0004
52708,273042,2,0.0004
932758,56132,2,0.0004
860371,562130,1,0.0004
249280,747333,1,0.0003
655725,227018,1,0.0003
714302,123094,2,0.0003
193607,240433,1,0.0003
382415,756799,1,0.0004
208035,556405,5,0.000401
541146,616555,1,0.0004
784657,715398,1,0.0004
596604,991024,4,0.0003
714232,621401,1,0.0004
426007,984554,1,0.0004
408383,453029,1,0.0003
503821,710998,1,0.0004
531457,803113,1,0.0004
521957,931595,1,0.0003
565030,227742,2,0.0004
818864,257570,2,0.0004
446141,639339,1,0.0004
828614,749792,2,0.0003
79712,970324,212,0.0003
98704,511202,2,0.0004
421341,896059,1,0.0005
494840,517721,1,0.0004
460175,331647,1,0.0005
438007,381245,1,0.0003
665063,978253,1,0.0005
186837,439940,1,0.0004
878571,255749,1,0.0004
272679,959508,33,0.0004
359796,392885,1,0.0004
791258,103562,2,0.0004
883353,878296,1,0.000401
933392,239353,1,0.0004
62851,133122,1,0.0003
40672,362756,4,0.0003
775282,546824,2,0.0004
904334,303031,1,0.0003
814875,991579,1,0.0005
124800,315331,1,0.0003
527084,394443,1,0.0004
995621,366098,1,0.0005
405766,721289,1,0.0004
298489,76716,1,0.0004
