Number One,Number Two,Their GCD,Time Spent (Milliseconds)
372179,466886,1,1.589
268562,473720,2,1.105
201407,851424,1,0.827
865501,343571,1,1.4154
976072,702244,4,3.6106
458469,678500,1,2.7915
57544,153191,1,0.3404
203193,352159,211,1.2309
391077,371438,1,2.1299
10765,682317,1,0.0616
251894,573101,1,1.3124
922156,308126,2,1.2486
305093,633361,1,1.2072
515515,585393,1,2.5036
429017,892927,1,1.7053
340243,726391,1,1.7445
434415,363085,5,1.5506
490356,270876,12,1.081
209856,535946,2,0.8847
68776,582463,1,0.3458
428529,10310,1,0.0408
314903,141789,1,0.5563
759116,835172,4,3.0152
130612,935513,1,0.5214
568546,341455,1,1.3402
891727,953340,1,3.5281
414645,235792,1,0.9996
529060,659902,2,2.5771
217567,85384,1,0.3353
182667,373647,3,0.776
467230,754451,1,1.8699
448245,447180,15,1.7737
185473,91549,1,0.3594
804055,779325,5,3.145
681309,908433,9,2.6873
62392,540148,4,0.2452
953343,155952,27,0.6208
855590,172177,1,0.6767
697738,239396,2,1.0968
265336,955929,1,1.2029
743820,585218,2,2.3524
572252,147540,4,0.5822
433983,951736,1,1.7364
948354,147423,3,0.5793
496423,165203,1,0.6489
813152,705906,2,3.0126
694200,651897,3,2.6429
111870,300088,2,0.4406
626365,241234,1,0.9893
3299,576815,1,0.0173
695816,360566,2,1.7531
907181,331373,1,1.4362
437845,406099,1,1.5934
446489,375046,1,1.4898
358362,779720,2,1.7317
214000,967400,200,0.8793
721891,257798,1,1.0303
139311,287035,1,0.5642
475318,450990,2,2.0475
111715,705915,5,0.4722
102971,567666,11,0.4176
701165,531179,1,2.1015
112293,704497,1,0.4718
17934,29709,3,0.0912
920927,531725,1,2.3746
919230,990332,2,5.0626
553548,104538,6,0.422
126402,959620,2,0.5134
825089,285478,1,1.3369
365438,568171,1,1.5134
570660,112697,1,0.4964
299459,49476,19,0.3075
842456,118265,31,0.6181
738684,408543,3,1.8285
192447,70135,1,0.3046
428847,457923,3,2.1439
518271,888745,13,2.0648
254226,380772,42,1.0151
340300,91801,1,0.3615
605003,130906,1,0.5223
890409,327888,3,1.3276
776818,453033,7,1.7927
592699,693890,1,2.5405
609506,743177,1,2.5024
589215,280888,1,1.114
849743,16963,1,0.0729
291449,345927,1,1.5845
196309,752115,1,0.8566
627024,331568,16,1.3017
431623,317396,1,1.5531
896039,359027,1,2.0243
384884,849012,4,1.8432
225175,277517,1,1.0112
513875,112137,1,0.4403
635664,798259,1,2.5051
599466,713774,2,2.4787
958198,628522,2,2.5851
197581,477364,1,0.7753
134333,453555,1,0.5325
510386,892711,1,2.0065
675788,695631,1,2.6616
593676,926714,2,2.3343
557103,899220,3,2.1907
557742,809121,3,2.201
462926,123753,1,0.7371
133906,135956,82,0.6351
328575,906367,1,1.3014
700860,947153,1,2.8363
653387,960845,31,2.6832
12006,865140,6,0.0481
139479,994860,3,0.5486
242281,26438,1,0.1218
760566,245362,2,0.9754
348355,904303,1,1.3943
559091,981787,1,2.2078
362625,705629,1,1.4292
275845,751215,5,1.1772
245988,23007,3,0.0906
839155,253904,1,0.9969
681798,295573,1,1.3675
936652,800999,1,3.1708
91628,759831,1,0.3597
591289,634013,1,2.3262
51164,850753,1,0.2218
263212,312461,1,1.1723
456929,52799,1,0.223
592884,807485,1,2.5587
355093,796536,1,1.435
869060,288267,1,1.3479
744223,699596,1,2.8332
145174,724672,2,0.5942
732258,554100,6,2.1893
954701,73063,1,0.296
607418,411178,2,1.6751
684040,136066,14,0.5781
279721,416274,1,1.2419
762320,659083,1,3.299
982407,367843,1,1.6125
221085,654987,3,1.2166
591694,528047,1,2.1769
124670,203302,2,0.4904
609951,386411,1,1.5301
809181,599657,1,2.3674
143651,664096,1,0.5636
965308,896442,2,3.5281
448076,493757,1,1.7644
678137,921921,1,3.0726
332689,760453,1,1.6682
567941,930652,1,2.2626
12708,260267,1,0.0634
202944,271540,4,0.8703
437618,70852,2,0.2883
781049,677834,1,2.6886
46765,226104,1,0.1839
810947,392612,1,1.5491
909080,33627,1,0.1329
429570,436132,2,1.7768
502871,259950,1,1.0571
965673,582872,1,2.577
528916,982768,4,2.306
12549,570051,3,0.0497
100272,758297,1,0.3941
17288,314321,1,0.0682
377564,503137,1,1.4847
691031,73215,1,0.2905
607365,222052,1,0.9479
150881,238420,1,0.592
887354,873715,1,3.5723
172389,497778,3,0.6802
459940,609047,1,1.8214
687595,186490,5,0.7863
45473,547556,1,0.1787
895574,889112,2,3.9701
505306,284650,2,1.1458
631770,928346,2,2.4977
921987,766979,1,3.2364
864850,497647,1,1.9639
537328,547278,2,2.1179
922284,73283,1,0.304
641998,613680,2,2.4544
669426,412295,1,1.6924
978237,914135,1,3.6699
54198,649997,1,0.2187
444892,213206,14,0.837
34862,884263,1,0.137
360333,898243,1,1.4323
232676,437583,1,0.9165
979888,608291,1,2.5152
886580,146533,1,0.5963
966455,210111,1,0.8351
953173,189786,1,0.7531
100098,137933,1,0.3939
840654,784091,1,3.2827
124446,863755,1,0.4891
51979,707168,1,0.2157
699175,269971,1,1.0861
814786,551139,1,2.1668
637726,684182,2,2.5057
619558,833732,2,2.5063
698753,916959,1,2.7533
401979,361481,1,1.4181
184950,73171,1,0.298
173991,305698,1,0.8012
237078,729058,2,0.9908
724920,530781,3,2.0943
46127,829599,1,0.1846
844164,765245,1,3.0329
672431,679194,1,2.7206
