Number One,Number Two,Their GCD,Time Spent (Milliseconds)
372179,466886,1,0.0005
268562,473720,2,0.0004
201407,851424,1,0.0003
865501,343571,1,0.0004
976072,702244,4,0.0003
458469,678500,1,0.0003
57544,153191,1,0.0003
203193,352159,211,0.0004
391077,371438,1,0.0003
10765,682317,1,0.0003
251894,573101,1,0.0004
922156,308126,2,0.0002
305093,633361,1,0.0003
515515,585393,1,0.0002
429017,892927,1,0.0004
340243,726391,1,0.0003
434415,363085,5,0.0002
490356,270876,12,0.0002
209856,535946,2,0.0002
68776,582463,1,0.0003
428529,10310,1,0.0004
314903,141789,1,0.0002
759116,835172,4,0.0002
130612,935513,1,0.0003
568546,341455,1,0.0003
891727,953340,1,0.0003
414645,235792,1,0.0003
529060,659902,2,0.0003
217567,85384,1,0.0004
182667,373647,3,0.0002
467230,754451,1,0.0003
448245,447180,15,0.0002
185473,91549,1,0.0003
804055,779325,5,0.0003
681309,908433,9,0.0002
62392,540148,4,0.0003
953343,155952,27,0.0002
855590,172177,1,0.0003
697738,239396,2,0.0003
265336,955929,1,0.0003
743820,585218,2,0.0003
572252,147540,4,0.0002
433983,951736,1,0.0003
948354,147423,3,0.0002
496423,165203,1,0.0002
813152,705906,2,0.0004
694200,651897,3,0.0004
111870,300088,2,0.0003
626365,241234,1,0.0003
3299,576815,1,0.0002
695816,360566,2,0.0003
907181,331373,1,0.0003
437845,406099,1,0.0003
446489,375046,1,0.0002
358362,779720,2,0.0004
214000,967400,200,0.0002
721891,257798,1,0.0002
139311,287035,1,0.0003
475318,450990,2,0.0003
111715,705915,5,0.0003
102971,567666,11,0.0003
701165,531179,1,0.0002
112293,704497,1,0.0004
17934,29709,3,0.0003
920927,531725,1,0.0003
919230,990332,2,0.0002
553548,104538,6,0.0003
126402,959620,2,0.0003
825089,285478,1,0.0003
365438,568171,1,0.0004
570660,112697,1,0.0003
299459,49476,19,0.0001
842456,118265,31,0.0002
738684,408543,3,0.0003
192447,70135,1,0.0004
428847,457923,3,0.0002
518271,888745,13,0.0003
254226,380772,42,0.0002
340300,91801,1,0.0003
605003,130906,1,0.0003
890409,327888,3,0.0003
776818,453033,7,0.0002
592699,693890,1,0.0002
609506,743177,1,0.0003
589215,280888,1,0.0002
849743,16963,1,0.0002
291449,345927,1,0.0003
196309,752115,1,0.0004
627024,331568,16,0.0003
431623,317396,1,0.0004
896039,359027,1,0.0002
384884,849012,4,0.0003
225175,277517,1,0.0003
513875,112137,1,0.0004
635664,798259,1,0.0003
599466,713774,2,0.0004
958198,628522,2,0.0003
197581,477364,1,0.0004
134333,453555,1,0.0003
510386,892711,1,0.0004
675788,695631,1,0.0003
593676,926714,2,0.0003
557103,899220,3,0.0003
557742,809121,3,0.0003
462926,123753,1,0.0002
133906,135956,82,0.0002
328575,906367,1,0.0003
700860,947153,1,0.0003
653387,960845,31,0.0002
12006,865140,6,0.0002
139479,994860,3,0.0002
242281,26438,1,0.0003
760566,245362,2,0.0002
348355,904303,1,0.0004
559091,981787,1,0.0003
362625,705629,1,0.0003
275845,751215,5,0.0004
245988,23007,3,0.0002
839155,253904,1,0.0002
681798,295573,1,0.0003
936652,800999,1,0.0002
