n,F(n),T1: recursive time (ns),T2: DP time (ns),value of (2^n)/n,value of T1 / T2
1,1,300.00,100.00,2.00e+00,3.00e+00
2,2,100.00,2300.00,2.00e+00,4.35e-02
5,8,300.00,1300.00,6.40e+00,2.31e-01
10,89,1600.00,1800.00,1.02e+02,8.89e-01
12,233,3100.00,2400.00,3.41e+02,1.29e+00
15,987,7800.00,2000.00,2.18e+03,3.90e+00
23,46368,354300.00,2500.00,3.65e+05,1.42e+02
25,121393,947200.00,3600.00,1.34e+06,2.63e+02
30,1346269,8641600.00,4300.00,3.58e+07,2.01e+03
36,24157817,130512600.00,10100.00,1.91e+09,1.29e+04
